Simulacion,Paso,Influencia,PH,Exp_Investigacion,Exp_Combate,Exp_Fabricacion
2,88,-3,0,144,204,275
2,89,-3,0,144,205,276
2,90,-3,0,172,205,276
2,91,-3,0,172,205,300
2,92,-3,0,193,206,300
2,93,-3,0,193,206,300
2,94,-3,0,193,206,300
2,95,-3,0,208,206,300
2,96,-3,0,208,222,306
2,97,-3,0,208,222,318
2,98,-3,0,208,243,342
2,99,-3,0,208,259,342
2,100,-3,0,208,272,342
3,1,0,0,0,0,0
3,2,0,0,0,0,16
3,3,0,0,0,0,21
3,4,0,0,17,30,46
3,5,0,0,17,36,46
3,6,0,0,17,36,75
3,7,0,0,17,45,75
3,8,0,0,17,53,75
3,9,0,0,39,53,97
3,10,0,0,39,81,97
3,11,0,0,39,97,97
3,12,-1,0,42,97,25
3,13,-1,0,51,97,25
3,14,-1,0,58,97,49
3,15,-1,0,61,97,65
3,16,-1,0,80,97,70
3,17,-2,0,80,16,70
3,18,-2,0,92,38,70
3,19,-2,0,98,46,76
3,20,-3,0,24,46,84
3,21,-3,0,24,46,84
3,22,-3,0,43,56,84
3,23,-3,0,53,56,97
3,24,-3,0,53,56,97
3,25,-3,0,53,56,97
3,26,-3,0,53,74,97
3,27,-3,0,81,92,97
3,28,-2,0,81,100,0.999992
3,29,-2,0,81,100,24
3,30,-2,0,100,100,36
3,31,-2,0,100,108,46
3,32,-1,0,3.99999,108,55
3,33,0,0,12,18,55
3,34,0,0,12,18,55
3,35,0,0,36,46,78
3,36,0,0,51,62,78
3,37,0,0,76,62,98
3,38,0,0,96,74,119
3,39,0,0,96,74,143
3,40,0,0,96,74,162
3,41,0,0,96,74,162
3,42,0,0,110,74,162
3,43,0,0,110,85,162
3,44,0,0,140,100,166
3,45,0,0,166,115,166
3,46,0,0,166,115,166
3,47,0,0,166,125,166
3,48,0,0,166,136,166
3,49,0,0,167,136,180
3,50,0,0,167,136,184
3,51,0,0,197,136,184
3,52,0,0,222,136,184
3,53,0,0,222,154,184
3,54,0,0,222,158,214
3,55,0,0,222,158,226
3,56,0,0,222,158,226
3,57,0,0,222,158,226
3,58,0,0,235,158,239
3,59,0,0,4.99998,158,6.99998
3,60,0,0,4.99998,158,36
3,61,0,0,4.99998,158,36
3,62,0,0,4.99998,158,62
3,63,0,0,26,158,62
3,64,0,0,46,158,62
3,65,0,0,49,158,62
3,66,0,0,49,167,79
3,67,0,0,64,177,79
3,68,0,0,80,200,79
3,69,0,0,99,206,97
3,70,0,0,99,206,97
3,71,0,0,106,210,98
3,72,0,0,132,210,98
3,73,0,0,132,210,113
3,74,0,0,132,210,125
3,75,0,0,151,210,126
3,76,0,0,151,210,126
3,77,0,0,168,210,140
3,78,0,0,168,216,140
3,79,0,0,168,219,153
3,80,-1,0,168,7.99998,169
3,81,-1,0,168,16,183
3,82,-1,0,180,31,183
3,83,-1,0,180,34,183
3,84,-1,0,180,34,185
3,85,-1,0,180,40,206
3,86,-1,0,201,40,206
3,87,-1,0,201,62,212
3,88,-1,0,222,62,212
3,89,-1,0,222,62,212
3,90,-1,0,234,87,234
3,91,-1,0,234,87,260
3,92,-1,0,251,87,260
3,93,-1,0,253,94,271
3,94,-1,0,263,94,274
3,95,-1,0,263,94,285
3,96,-1,0,263,94,302
3,97,-1,0,263,109,302
3,98,-1,0,263,109,302
3,99,-1,0,263,109,302
3,100,-1,0,273,109,330
4,1,0,0,0,0,0
4,2,0,0,0,0,28
4,3,0,0,27,4,28
4,4,0,0,41,24,49
4,5,0,0,50,45,49
4,6,0,0,50,55,49
4,7,0,0,50,83,49
4,8,0,0,50,83,73
4,9,0,0,65,83,73
4,10,1,0,81,1,73
4,11,2,0,5,1,73
4,12,2,0,5,31,81
4,13,2,0,5,31,98
4,14,2,0,5,43,98
4,15,1,0,5,43,3
4,16,1,0,5,43,3
4,17,1,0,5,58,3
4,18,1,0,13,62,18
4,19,1,0,14,62,18
4,20,1,0,28,62,18
4,21,1,0,54,79,48
4,22,1,0,57,108,48
4,23,2,0,85,9.99999,63
4,24,2,0,87,20,63
4,25,2,0,87,20,65
4,26,2,0,90,20,65
4,27,2,0,90,34,82
4,28,2,0,119,48,109
4,29,1,0,16,56,112
4,30,2,0,16,80,18
4,31,2,0,40,87,29
4,32,2,0,58,87,57
4,33,2,0,58,88,83
4,34,2,0,74,88,111
4,35,2,0,100,95,111
4,36,2,0,113,95,127
4,37,2,0,141,100,140
4,38,2,0,141,126,140
4,39,2,0,163,130,140
4,40,2,0,168,130,141
4,41,2,0,187,144,144
4,42,2,0,208,144,144
4,43,2,0,218,156,144
4,44,2,0,240,156,167
4,45,1,0,13,170,180
4,46,1,0,13,170,204
4,47,1,0,31,180,204
4,48,1,0,31,180,228
4,49,1,0,31,210,228
4,50,2,0,44,216,13
4,51,2,0,69,216,13
4,52,2,0,82,232,25
4,53,3,0,84,20,53
4,54,3,0,110,47,53
4,55,3,0,119,77,53
4,56,3,0,122,84,53
4,57,3,0,148,103,53
4,58,3,0,161,117,56
4,59,3,0,187,147,72
4,60,3,0,187,147,101
4,61,3,0,187,147,123
4,62,3,0,187,157,130
4,63,3,0,187,157,130
4,64,3,0,187,157,138
4,65,3,0,187,187,138
4,66,3,0,215,187,145
4,67,3,0,217,188,145
4,68,3,0,217,188,145
4,69,3,0,235,188,165
4,70,3,0,235,218,165
4,71,3,0,259,218,165
4,72,3,0,259,218,184
4,73,3,0,273,237,184
4,74,3,0,273,266,184
4,75,3,0,273,266,209
4,76,3,0,273,272,209
4,77,3,0,296,272,209
4,78,3,0,296,272,212
4,79,3,0,296,272,212
4,80,3,0,301,272,238
4,81,3,0,301,278,262
4,82,3,0,301,296,262
4,83,3,0,301,313,262
4,84,3,0,314,326,288
4,85,3,0,314,326,290
4,86,3,0,329,331,293
4,87,3,0,333,339,304
4,88,3,0,356,346,323
4,89,3,0,356,346,323
4,90,3,0,356,346,349
4,91,3,0,356,346,352
4,92,4,0,16,351,352
4,93,3,0,16,19,352
4,94,3,0,33,48,352
4,95,3,0,45,76,352
4,96,2,0,45,76,3
4,97,2,0,57,92,3
4,98,2,0,57,94,3
4,99,2,0,60,114,14
4,100,2,0,84,114,14
5,1,0,0,0,0,0
5,2,0,0,3,13,0
5,3,0,0,10,13,6
5,4,0,0,10,13,6
5,5,0,0,10,13,7
5,6,0,0,32,13,21
5,7,0,0,38,13,25
5,8,0,0,40,13,25
5,9,0,0,68,13,36
5,10,0,0,79,20,36
5,11,0,0,97,41,36
5,12,0,0,97,41,36
5,13,1,0,2,47,62
5,14,1,0,2,71,74
5,15,1,0,2,71,74
5,16,1,0,28,92,98
5,17,0,0,28,92,22
5,18,1,0,36,7,22
5,19,1,0,36,7,44
5,20,1,0,36,7,72
5,21,1,0,36,35,101
5,22,1,0,51,35,101
5,23,1,0,51,35,101
5,24,1,0,51,35,101
5,25,1,0,51,35,101
5,26,1,0,51,58,101
5,27,2,0,52,58,7.99999
5,28,2,0,52,64,7.99999
5,29,2,0,63,64,7.99999
5,30,2,0,66,65,7.99999
5,31,2,0,90,91,37
5,32,2,0,90,100,37
5,33,2,0,90,100,37
5,34,2,0,113,100,47
5,35,3,0,4.99999,107,70
5,36,3,0,4.99999,118,96
5,37,3,0,5.99999,118,122
5,38,2,0,24,6.99999,123
5,39,2,0,24,6.99999,126
5,40,2,0,39,30,140
5,41,2,0,45,57,140
5,42,2,0,71,80,140
5,43,2,0,100,80,140
5,44,2,0,127,80,140
5,45,2,0,150,80,152
5,46,2,0,164,80,152
5,47,2,0,180,80,177
5,48,2,0,188,80,177
5,49,2,0,205,90,181
5,50,2,0,205,90,181
5,51,2,0,205,99,181
5,52,2,0,205,121,181
5,53,2,0,222,121,181
5,54,2,0,236,121,181
5,55,3,0,8.99998,150,187
5,56,3,0,25,165,187
5,57,3,0,49,165,203
5,58,3,0,49,173,233
5,59,3,0,49,173,233
5,60,3,0,49,173,233
5,61,3,0,49,201,240
5,62,2,0,49,201,7.99998
5,63,2,0,49,201,7.99998
5,64,2,0,77,217,9.99998
5,65,2,0,77,217,9.99998
5,66,2,0,77,218,38
5,67,2,0,78,218,68
5,68,2,0,102,218,74
5,69,1,0,102,7.99998,92
5,70,1,0,129,7.99998,111
5,71,1,0,129,7.99998,121
5,72,1,0,129,7.99998,131
5,73,1,0,129,27,139
5,74,1,0,129,41,152
5,75,1,0,129,65,172
5,76,1,0,129,78,186
5,77,1,0,140,78,186
5,78,1,0,141,96,203
5,79,1,0,159,124,205
5,80,1,0,164,141,232
5,81,1,0,183,141,232
5,82,1,0,183,143,248
5,83,1,0,211,170,277
5,84,1,0,224,191,287
5,85,1,0,224,203,287
5,86,1,0,224,211,298
5,87,1,0,230,211,298
5,88,1,0,259,211,325
5,89,1,0,273,218,325
5,90,1,0,288,228,352
5,91,2,0,288,248,6
5,92,2,0,288,276,11
5,93,2,0,298,293,21
5,94,2,0,298,293,21
5,95,2,0,315,315,21
5,96,2,0,315,315,21
5,97,2,0,315,331,33
5,98,2,0,315,333,52
5,99,2,0,344,333,52
5,100,2,0,344,337,80
